a52dec 0.7.4-9
aalib 1.4rc5-12
acl 2.2.52-3
adwaita-icon-theme 3.24.0-1
alsa-lib 1.1.4.1-1
arch-wiki-cli 0.2-1
archlinux-keyring 20170611-1
aspell 0.60.6.1-5
at-spi2-atk 2.24.1-1
at-spi2-core 2.24.1-1
atk 2.24.0-2
atkmm 2.24.2+1+gf30b47f-2
attr 2.4.47-2
audacity 2.1.3-1
audiofile 0.3.6-3
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-3
bash 4.4.012-2
binutils 2.28.0-3
bison 3.0.4-2
blas 3.7.0-2
blueman 2.0.4-3
bluez 5.45-1
bluez-libs 5.45-1
bluez-utils 5.45-1
boost-libs 1.64.0-1
bzip2 1.0.6-6
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.31-3
ca-certificates-utils 20170307-1
cairo 1.14.10-1
cairomm 1.12.2-2
cblas 3.7.0-2
chromium 54.0.2840.90-1
cifs-utils 6.5-1
compositeproto 0.4.2-3
compton 0.1_beta2.5-3
confuse 3.0-1
conky 1.10.5-1
coreutils 8.27-1
cracklib 2.9.6-1
cryptsetup 1.7.3-1
curl 7.51.0-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.18-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.0+1+g701d19d-1
desktop-file-utils 0.23-1
device-mapper 2.02.166-1
dhcpcd 6.11.3-1
dialog 1:1.3_20160828-1
diffutils 3.5-1
dmenu 4.6-1
dmxproto 2.3.1-3
dnssec-anchors 20150403-1
e2fsprogs 1.43.4-1
enca 1.19-1
enchant 1.6.0-8
expat 2.2.0-2
faac 1.28-5
faad2 2.7-4
fakeroot 1.21-2
feh 2.18-1
fetchmirrors 0.3-2
ffmpeg 1:3.3.2-1
ffmpeg2.8 2.8.7-4
fftw 3.3.5-1
file 5.29-1
filesystem 2017.03-2
filezilla 3.22.2.2-1
findutils 4.6.0-2
firefox 49.0.2-1
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flex 2.6.1-1
fontconfig 2.12.3-1
fontsproto 2.1.3-1
freetype2 2.8-2
fribidi 0.19.7-1
gawk 4.1.4-1
gc 7.6.0-1
gcc 6.2.1-1
gcc-libs 7.1.1-2
gd 2.2.3-3
gdbm 1.13-1
gdk-pixbuf2 2.36.6-2
gedit 3.22.0+4+g2c70ccb-1
gettext 0.19.8.1-2
ghostscript 9.20-4
giblib 1.2.4-6
giflib 5.1.4-1
git 2.10.2-1
glib-networking 2.50.0-1
glib2 2.52.2+9+g3245eba16-1
glibc 2.25-3
glibmm 2.51.7-1
glu 9.0.0-4
gmp 6.1.2-1
gnumeric 1.12.32-1
gnupg 2.1.15-1
gnutls 3.5.13-1
gobject-introspection-runtime 1.52.1-1
goffice 0.10.31-1
gparted 0.27.0-1
gperf 3.0.4-7
gpgme 1.7.1-2
gpm 1.20.7-7
graphite 1:1.3.10-1
graphviz 2.38.0-15
grep 2.26-1
groff 1.22.3-7
grub 1:2.02.beta3-4
gsettings-desktop-schemas 3.22.0+1+g6f52ab5-1
gsm 1.0.16-1
gspell 1.2.1-1
gst-plugins-base-libs 1.12.0-1
gstreamer 1.12.0-1
gstreamer0.10 0.10.36-4
gstreamer0.10-base 0.10.36-3
gtk-update-icon-cache 3.22.15-1
gtk2 2.24.31-1
gtk3 3.22.15-1
gtkmm 2.24.4-2
gtksourceview3 3.22.1-1
gts 0.7.6-3
guile 2.0.13-1
gvim 8.0.0055-1
gzip 1.8-2
harfbuzz 1.4.6-1
harfbuzz-icu 1.3.3-1
hdf5 1.10.0_patch1-1
hicolor-icon-theme 0.15-1
hspell 1.3-1
htop 2.0.2-1
hunspell 1.4.1-1
hwids 20170328-1
i3-wm 4.12-1
i3lock 2.8-1
i3status 2.10-2
iana-etc 20170512-1
icu 59.1-1
ijs 0.35-1
imagemagick 6.9.6.3-1
imlib2 1.4.9-1
inetutils 1.9.4-4
inputproto 2.3.2-1
inxi 2.3.4-1
iproute2 4.8.0-1
iptables 1.6.1-1
iputils 20160308.0db72a4-1
iso-codes 3.74-1
jack 0.125.0-3
jansson 2.9-1
jasper 2.0.13-1
jbig2dec 0.13-1
jemalloc 4.3.1-1
jfsutils 1.1.15-4
js17 17.0.0-3
json-c 0.12.1-1
json-glib 1.2.8-1
kbd 2.0.4-1
kbproto 1.0.7-1
keyutils 1.5.10-1
kmod 24-1
krb5 1.15.1-1
lame 3.99.5-3
lapack 3.7.0-2
lasem 0.4.3-2
lcms2 2.8-2
ldb 1.1.27-1
ldns 1.6.17-4
less 487-1
libaio 0.3.110-1
libao 1.2.0-1
libarchive 3.2.1-2
